"當前課程代碼","當前調查ID","當前問題ID","上一個課程代碼","上一次調查ID","上一個問題ID","問題顯示順序","圖形模式","圖形標題 ID","圖形標題名稱","軸標籤 ID","軸標籤名稱"
"C001F","95","281","C002F","96","284","13","1","602","グラフタイトル602","101","軸レベル名A"
"C001F","95","282","C002F","96","283","13","1","602","グラフタイトル602","102","軸レベル名B"
"C001F","95","283","C002F","96","282","13","1","602","グラフタイトル602","103","軸レベル名C"
"C001F","95","284","C002F","96","281","13","1","602","グラフタイトル602","104","軸レベル名D"
"coE01","95","281","coE01","95","281","4","1","999","Graph Title 999","222","Axis X"
"coE01","95","282","coE01","95","282","3","1","999","Graph Title 999","223","Axis Y"
"coE01","95","283","coE01","95","283","2","1","999","Graph Title 999","224","Axis Z"
"coE01","95","284","coE01","95","284","1","1","999","Graph Title 999","225","Axis W"
"coE02","96","281","coE02","96","281","13","1","999","Graph Title 999","222","Axis X"
"coE02","96","282","coE02","96","282","13","1","999","Graph Title 999","223","Axis Y"
"coE02","96","283","coE02","96","283","13","1","999","Graph Title 999","224","Axis Z"
"coE02","96","284","coE02","96","284","13","1","999","Graph Title 999","225","Axis W"
"coE03","97","285","coE03","98","285","13","1","999","Graph Title 999","222","Axis X"
"coE03","97","286","coE03","98","286","13","1","999","Graph Title 999","223","Axis Y"
"coE03","97","287","coE03","98","287","13","1","999","Graph Title 999","224","Axis Z"
"coE03","97","288","coE03","98","288","13","1","999","Graph Title 999","225","Axis W"
"coE03","97","289","coE03","98","289","13","1","999","Graph Title 999","226","Axis E"
"coE04","95","281","coE04","96","281","13","1","999","Graph Title 999","222","Axis X"
"coE04","95","282","coE04","96","282","13","1","999","Graph Title 999","223","Axis Y"
"coE04","95","283","coE04","96","283","13","1","999","Graph Title 999","224","Axis Z"
"coE04","95","284","coE04","96","284","13","1","999","Graph Title 999","225","Axis W"
"coE05","95","281","coE05","96","281","13","1","999","Graph Title 999","222","Axis X"
"coE05","95","282","coE05","96","282","13","1","999","Graph Title 999","223","Axis Y"
"coE05","95","283","coE05","96","283","13","1","999","Graph Title 999","224","Axis Z"
"coE05","95","284","coE05","96","284","13","1","999","Graph Title 999","225","Axis W"
"coE06","95","281","coE06","96","281","13","1","999","Graph Title 999","222","Axis X"
"coE06","95","282","coE06","96","282","13","1","999","Graph Title 999","223","Axis Y"
"coE06","95","283","coE06","96","283","13","1","999","Graph Title 999","224","Axis Z"
"coE06","95","284","coE06","96","284","13","1","999","Graph Title 999","225","Axis W"
"coE07","95","281","coE07","96","281","13","1","999","Graph Title 999","222","Axis X"
"coE07","95","282","coE07","96","282","13","1","999","Graph Title 999","223","Axis Y"
"coE08","95","281","coE08","96","281","13","1","999","Graph Title 999","222","Axis X"
"coE08","95","282","coE08","96","282","13","1","999","Graph Title 999","223","Axis Y"
"coE08","95","283","coE08","96","283","13","1","999","Graph Title 999","224","Axis Z"
"coE08","95","284","coE08","96","284","13","1","999","Graph Title 999","225","Axis W"
"coE09","97","285","coE09","98","285","13","1","999","Graph Title 999","222","Axis X"
"coE09","97","286","coE09","98","286","13","1","999","Graph Title 999","223","Axis Y"
"coE09","97","287","coE09","98","287","13","1","999","Graph Title 999","224","Axis Z"
"coE09","97","288","coE09","98","288","13","1","999","Graph Title 999","225","Axis W"
"coE09","97","289","coE09","98","289","13","1","999","Graph Title 999","226","Axis E"
"CoE10","95","281","CoE10","96","281","3","1","777","Graph Title 777","111","Axis X"
"CoE10","95","282","CoE10","96","282","2","1","777","Graph Title 777","112","Axis Y"
"CoE10","95","283","CoE10","96","283","1","1","777","Graph Title 777","113","Axis Z"
"CoE10","95","284","CoE10","96","284","4","1","777","Graph Title 777","114","Axis W"
"CoE12","95","281","CoE12","96","281","1","1","777","Graph Title 777","111","Axis X"
"CoE12","95","282","CoE12","96","282","1","1","777","Graph Title 777","112","Axis Y"
"CoE12","95","283","CoE12","96","283","2","1","777","Graph Title 777","113","Axis Z"
"CoE12","95","284","CoE12","96","284","4","1","777","Graph Title 777","113","Axis W"
"CoE13","105","299","CoE13","106","299","1","1","999","Graph Title 999","111","Axis A"
"CoE13","105","300","CoE13","106","300","1","1","999","Graph Title 999","112","Axis B"
"CoE13","105","301","CoE13","106","301","1","1","999","Graph Title 999","113","Axis C"
"CoE13","105","302","CoE13","106","302","1","1","999","Graph Title 999","114","Axis D"
"CoE13","105","303","CoE13","106","303","1","1","999","Graph Title 999","115","Axis E"
"CoE13","105","304","CoE13","106","304","1","1","999","Graph Title 999","116","Axis F"
"CoE13","105","305","CoE13","106","305","1","1","999","Graph Title 999","117","Axis G"
"CoE13","105","306","CoE13","106","306","1","1","999","Graph Title 999","118","Axis H"
"CoE14","110","299","CoE14","111","299","1","1","999","Graph Title 999","111","Axis A"
"CoE14","110","300","CoE14","111","300","1","1","999","Graph Title 999","112","Axis B"
"CoE14","110","301","CoE14","111","301","1","1","999","Graph Title 999","113","Axis C"
"CoE14","110","302","CoE14","111","302","1","1","999","Graph Title 999","114","Axis D"
"CoE14","110","303","CoE14","111","303","1","1","999","Graph Title 999","115","Axis E"
"CoE14","110","304","CoE14","111","304","1","1","999","Graph Title 999","116","Axis F"
"CoE14","110","305","CoE14","111","305","1","1","999","Graph Title 999","117","Axis G"
"CoE14","110","306","CoE14","111","306","1","1","999","Graph Title 999","118","Axis H"
"CoE14","110","307","CoE14","111","307","1","1","999","Graph Title 999","119","Axis J"
"CoE14","110","314","CoE14","111","314","1","1","999","Graph Title 999","120","Axis K"
"CoE15","112","315","CoE15","113","315","1","1","999","Graph Title 999","118","Axis H"
